rate,datetime
55.42,14:46:03 03/11/2022
55.42,14:47:04 03/11/2022
55.42,14:48:03 03/11/2022
55.42,14:49:03 03/11/2022
55.42,14:50:04 03/11/2022
55.43,14:51:03 03/11/2022
55.43,14:52:03 03/11/2022
55.43,14:53:04 03/11/2022
55.43,14:54:03 03/11/2022
55.43,14:55:03 03/11/2022
55.43,14:56:04 03/11/2022
55.43,14:57:04 03/11/2022
55.43,14:58:03 03/11/2022
55.43,14:59:03 03/11/2022
55.43,15:00:05 03/11/2022
55.34,15:01:03 03/11/2022
55.34,15:02:03 03/11/2022
55.34,15:03:04 03/11/2022
55.34,15:04:04 03/11/2022
55.34,15:05:03 03/11/2022
55.34,15:06:03 03/11/2022
55.34,15:07:03 03/11/2022
55.34,15:08:04 03/11/2022
55.34,15:09:04 03/11/2022
55.34,15:10:03 03/11/2022
55.42,15:11:03 03/11/2022
55.42,15:12:04 03/11/2022
55.42,15:13:05 03/11/2022
55.42,15:14:04 03/11/2022
55.42,15:15:04 03/11/2022
55.42,15:16:03 03/11/2022
55.42,15:17:03 03/11/2022
55.42,15:18:03 03/11/2022
55.42,15:19:03 03/11/2022
55.44,15:20:03 03/11/2022
55.44,15:21:03 03/11/2022
55.44,15:22:03 03/11/2022
55.44,15:23:03 03/11/2022
55.44,15:24:03 03/11/2022
55.44,15:25:03 03/11/2022
55.44,15:26:03 03/11/2022
55.44,15:27:03 03/11/2022
55.44,15:28:04 03/11/2022
55.44,15:29:04 03/11/2022
55.44,15:30:06 03/11/2022
55.46,15:31:04 03/11/2022
55.46,15:32:04 03/11/2022
55.46,15:33:03 03/11/2022
55.46,15:34:04 03/11/2022
55.46,15:35:03 03/11/2022
55.46,15:36:04 03/11/2022
55.46,15:37:03 03/11/2022
55.46,15:38:03 03/11/2022
55.46,15:39:03 03/11/2022
55.46,15:40:04 03/11/2022
55.42,15:41:03 03/11/2022
55.42,15:42:03 03/11/2022
55.42,15:43:03 03/11/2022
55.42,15:44:03 03/11/2022
55.42,15:45:03 03/11/2022
55.42,15:46:03 03/11/2022
55.42,15:47:03 03/11/2022
55.42,15:48:03 03/11/2022
55.42,15:49:03 03/11/2022
55.42,15:50:04 03/11/2022
55.4,15:51:04 03/11/2022
55.4,15:52:03 03/11/2022
55.4,15:53:03 03/11/2022
55.4,15:54:03 03/11/2022
55.4,15:55:04 03/11/2022
55.4,15:56:03 03/11/2022
55.4,15:57:04 03/11/2022
55.4,15:58:03 03/11/2022
55.4,15:59:03 03/11/2022
55.4,16:00:05 03/11/2022
55.46,16:01:04 03/11/2022
55.46,16:02:04 03/11/2022
55.46,16:03:04 03/11/2022
55.46,16:04:03 03/11/2022
55.46,16:05:04 03/11/2022
55.46,16:06:04 03/11/2022
55.46,16:07:04 03/11/2022
55.46,16:08:04 03/11/2022
55.46,16:09:03 03/11/2022
55.46,16:10:03 03/11/2022
55.5,16:11:03 03/11/2022
55.5,16:12:03 03/11/2022
55.5,16:13:03 03/11/2022
55.5,16:14:03 03/11/2022
55.5,16:15:03 03/11/2022
55.5,16:16:04 03/11/2022
55.5,16:17:03 03/11/2022
55.5,16:18:03 03/11/2022
55.5,16:19:04 03/11/2022
55.5,16:20:04 03/11/2022
55.46,16:21:03 03/11/2022
55.46,16:22:04 03/11/2022
55.46,16:23:03 03/11/2022
55.46,16:24:03 03/11/2022
55.46,16:25:03 03/11/2022
55.46,16:26:03 03/11/2022
55.46,16:27:03 03/11/2022
55.46,16:28:03 03/11/2022
55.46,16:29:03 03/11/2022
55.46,16:30:05 03/11/2022
55.56,16:31:04 03/11/2022
55.56,16:32:04 03/11/2022
55.56,16:33:04 03/11/2022
55.56,16:34:04 03/11/2022
55.56,16:35:03 03/11/2022
55.56,16:36:04 03/11/2022
55.56,16:37:04 03/11/2022
55.56,16:38:04 03/11/2022
55.56,16:39:04 03/11/2022
55.56,16:40:03 03/11/2022
55.62,16:41:03 03/11/2022
55.62,16:42:03 03/11/2022
55.62,16:43:03 03/11/2022
55.62,16:44:03 03/11/2022
55.62,16:45:05 03/11/2022
55.62,16:46:03 03/11/2022
55.62,16:47:04 03/11/2022
55.62,16:48:04 03/11/2022
55.62,16:49:03 03/11/2022
55.62,16:50:04 03/11/2022
55.61,16:51:03 03/11/2022
55.61,16:52:03 03/11/2022
55.61,16:53:04 03/11/2022
55.61,16:54:03 03/11/2022
55.61,16:55:04 03/11/2022
55.61,16:56:04 03/11/2022
55.61,16:57:03 03/11/2022
55.61,16:58:04 03/11/2022
55.61,16:59:03 03/11/2022
55.61,17:00:05 03/11/2022
55.64,17:01:03 03/11/2022
55.64,17:02:03 03/11/2022
55.64,17:03:03 03/11/2022
55.64,17:04:03 03/11/2022
55.64,17:05:04 03/11/2022
55.64,17:06:04 03/11/2022
55.64,17:07:03 03/11/2022
55.64,17:08:04 03/11/2022
55.64,17:09:04 03/11/2022
55.64,17:10:04 03/11/2022
55.65,17:11:04 03/11/2022
55.65,17:12:03 03/11/2022
55.65,17:13:03 03/11/2022
55.65,17:14:03 03/11/2022
55.65,17:15:03 03/11/2022
55.65,17:16:04 03/11/2022
55.65,17:17:03 03/11/2022
55.65,17:18:03 03/11/2022
55.65,17:19:03 03/11/2022
55.65,17:20:03 03/11/2022
55.7,17:21:03 03/11/2022
55.7,17:22:04 03/11/2022
55.7,17:23:04 03/11/2022
55.7,17:24:03 03/11/2022
55.7,17:25:03 03/11/2022
55.7,17:26:04 03/11/2022
55.7,17:27:03 03/11/2022
55.7,17:28:04 03/11/2022
55.7,17:29:04 03/11/2022
55.7,17:30:05 03/11/2022
55.87,17:31:03 03/11/2022
55.87,17:32:03 03/11/2022
55.87,17:33:03 03/11/2022
55.87,17:34:04 03/11/2022
55.87,17:35:04 03/11/2022
55.87,17:36:03 03/11/2022
55.87,17:37:03 03/11/2022
55.87,17:38:04 03/11/2022
55.87,17:39:03 03/11/2022
55.87,17:40:03 03/11/2022
55.68,17:41:03 03/11/2022
55.68,17:42:03 03/11/2022
55.68,17:43:03 03/11/2022
55.68,17:44:03 03/11/2022
55.68,17:45:03 03/11/2022
55.68,17:46:04 03/11/2022
55.68,17:47:04 03/11/2022
55.68,17:48:04 03/11/2022
55.68,17:49:04 03/11/2022
55.68,17:50:03 03/11/2022
55.7,17:51:03 03/11/2022
55.7,17:52:03 03/11/2022
55.7,17:53:03 03/11/2022
55.7,17:54:04 03/11/2022
55.7,17:55:03 03/11/2022
55.7,17:56:04 03/11/2022
55.7,17:57:03 03/11/2022
55.7,17:58:04 03/11/2022
55.7,17:59:03 03/11/2022
55.7,18:00:05 03/11/2022
55.76,18:01:03 03/11/2022
55.76,18:02:03 03/11/2022
55.76,18:03:03 03/11/2022
55.76,18:04:04 03/11/2022
55.76,18:05:03 03/11/2022
55.76,18:06:03 03/11/2022
55.76,18:07:03 03/11/2022
55.76,18:08:03 03/11/2022
55.76,18:09:04 03/11/2022
55.75,18:10:04 03/11/2022
55.75,18:11:04 03/11/2022
55.75,18:12:03 03/11/2022
55.75,18:13:03 03/11/2022
55.75,18:14:03 03/11/2022
55.75,18:15:04 03/11/2022
55.75,18:16:03 03/11/2022
55.75,18:17:03 03/11/2022
55.75,18:18:03 03/11/2022
55.75,18:19:04 03/11/2022
55.75,18:20:04 03/11/2022
55.82,18:21:03 03/11/2022
55.82,18:22:03 03/11/2022
55.82,18:23:03 03/11/2022
55.82,18:24:03 03/11/2022
55.82,18:25:03 03/11/2022
55.82,18:26:03 03/11/2022
55.82,18:27:03 03/11/2022
55.82,18:28:03 03/11/2022
55.82,18:29:03 03/11/2022
55.82,18:30:05 03/11/2022
55.72,18:31:03 03/11/2022
55.72,18:32:04 03/11/2022
55.72,18:33:03 03/11/2022
55.72,18:34:03 03/11/2022
55.72,18:35:03 03/11/2022
55.72,18:36:03 03/11/2022
55.72,18:37:03 03/11/2022
55.72,18:38:03 03/11/2022
55.72,18:39:03 03/11/2022
55.72,18:40:03 03/11/2022
55.74,18:41:04 03/11/2022
55.74,18:42:03 03/11/2022
55.74,18:43:04 03/11/2022
55.74,18:44:04 03/11/2022
55.74,18:45:04 03/11/2022
55.74,18:46:03 03/11/2022
55.74,18:47:03 03/11/2022
55.74,18:48:04 03/11/2022
55.74,18:49:03 03/11/2022
55.74,18:50:03 03/11/2022
56.36,18:56:40 11/12/2022
